Понедельник, 4 августа
1.50 "Железная гора". Сезон: 1. Серия: 10. (Канада, 2022)  16+
2.15 "Переделка старья". Сезон: 2. Серия: 13. (Великобритания, 2019)  12+
3.00 "Переделка старья". Сезон: 3. Серия: 1. (Великобритания, 2022)  12+
3.45 "Предельные грузы". Сезон: 1. Серия: 5. (США, 2018)  16+
4.25 "Предельные грузы". Сезон: 1. Серия: 6. (США, 2018)  16+
5.05 "Чудовищный карп". Сезон: 5. Серия: 2. (Великобритания, 2021)  16+
Суббота, 9 августа
6.00 "Снежная команда". Сезон: 1. Серия: 1. (Новая Зеландия, 2023)  16+
6.20 "Машины с того света". Сезон: 13. Серия: 2. (США, 2021)  16+
7.05 "Проверка на прочность". Сезон: 3. Серия: 1. (США, 2022)  12+
8.10 "Семь дней в аду". Сезон: 1. Серия: 1. (Канада, 2015)  16+
8.55 "Семь дней в аду". Сезон: 1. Серия: 2. (Канада, 2015)  16+
9.45 "Тайная жизнь круизного лайнера". (Великобритания, 2018)  16+
10.45 "Свидетельства паранормального". Сезон: 6. Серия: 1. (США, 2021)  16+
11.25 "Свидетельства паранормального". Сезон: 6. Серия: 2. (США, 2021)  16+
12.05 "Свидетельства паранормального". Сезон: 6. Серия: 3. (США, 2021)  16+
12.45 "Охотники за подземными сокровищами". Сезон: 3. Серия: 4. (Австралия, 2024)  16+
13.40 "Охотники за подземными сокровищами". Сезон: 3. Серия: 5. (Австралия, 2024)  16+
14.35 "Охотники за подземными сокровищами". Сезон: 3. Серия: 6. (Австралия, 2024)  16+
15.30 "Переделка старья". Сезон: 2. Серия: 9. (Великобритания, 2019)  12+
16.20 "Переделка старья". Сезон: 2. Серия: 10. (Великобритания, 2019)  12+
17.15 "Переделка старья". Сезон: 2. Серия: 11. (Великобритания, 2019)  12+
18.05 "Переделка старья". Сезон: 2. Серия: 12. (Великобритания, 2019)  12+
19.00 "Разрушительный план". Сезон: 1. Серия: 1. (США, 2016)  16+
19.25 "Разрушительный план". Сезон: 1. Серия: 2. (США, 2016)  16+
19.50 "Разрушительный план". Сезон: 1. Серия: 3. (США, 2016)  16+
20.15 "Торги по-крупному". Сезон: 1. Серия: 1. (Канада, 2013)  16+
20.40 "Торги по-крупному". Сезон: 1. Серия: 2. (Канада, 2013)  16+
21.05 "Торги по-крупному". Сезон: 1. Серия: 3. (Канада, 2013)  16+
21.30 "Торги по-крупному". Сезон: 1. Серия: 4. (Канада, 2013)  16+
21.55 "Торги по-крупному". Сезон: 1. Серия: 5. (Канада, 2013)  16+
22.20 "Торги по-крупному". Сезон: 1. Серия: 6. (Канада, 2013)  16+
22.45 "Торги по-крупному". Сезон: 1. Серия: 7. (Канада, 2013)  16+
23.05 "Торги по-крупному". Сезон: 1. Серия: 8. (Канада, 2013)  16+
